dato,tid,spot,kvalitet
2026-04-05,ettermiddag,slagen,5
2025-08-05,lunsj,jomfruland_ost,4
2019-03-13,morgen,slagen,2
2018-09-26,15:30,slagen,4
2018-09-22,07:30,slagen,5
2025-10-03,ettermiddag,slagen,4
2018-08-18,14:35,hvasser_sando,4
2018-10-10,11:00,saltstein,4
2019-09-07,12:00,saltstein,4
2019-02-10,10:30,slagen,3
2018-12-18,16:45,saltstein,5
